,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,1,ACLBSL,939.9,5.9,0.63,921.1,940,921.1,572,934,,1,ACLBSL,25.94,921.1,940,921.1,939.9,939.9,0,0,932.78,572,934,"533,550.60",19,5.9,18.9,0.63,2.05,0.76,964.69,967.55,"1,175.00",827.9,
,,2,ADBL,325,2.5,0.78,306.5,326,306.5,"134,712.00",322.5,,2,ADBL,37.61,306.5,326,306.5,325,325,0,0,324.1,"134,712.00",322.5,"43,660,537.10",268,2.5,19.5,0.78,6.36,0.28,310.69,308.42,344.9,285.2,
,,3,ADBLD83,"1,028.90",3.9,0.38,"1,028.90","1,028.90","1,028.90",110,"1,025.00",,3,ADBLD83,26.93,"1,028.90","1,028.90","1,028.90","1,028.90","1,028.90",0,0,"1,028.90",110,"1,025.00","113,179.00",2,3.9,0,0.38,0,0,"1,081.58","1,087.56","1,132.90","1,015.00",
,,4,AHL,415.7,-4.3,-1.02,411,425,411,"1,270.00",420,,4,AHL,31.37,411,425,411,415.7,415.7,0,0,416.55,"1,270.00",420,"529,016.30",39,-4.3,14,-1.02,3.41,-0.2,497.98,527.17,699,405,
,,5,AHPC,271,2,0.74,270,273,268,"44,826.00",269,,5,AHPC,28.6,270,273,268,271,271,0,0,270.49,"44,826.00",269,"12,124,819.40",198,2,5,0.74,1.87,0.19,280.52,279,323.3,250.1,
,,6,AKJCL,362,-4,-1.09,368.5,370,361.2,"238,164.00",366,,6,AKJCL,20.02,368.5,370,361.2,362,362,0,0,366.29,"238,164.00",366,"87,236,636.20",483,-4,8.8,-1.09,2.44,-1.18,377.5,318.5,461.4,172.9,
,,7,AKPL,260.2,-1.5,-0.57,260,264,257,"32,452.00",261.7,,7,AKPL,30.25,260,264,257,260.2,260.2,0,0,261.11,"32,452.00",261.7,"8,473,582.70",151,-1.5,7,-0.57,2.72,-0.35,270.22,262.67,317,227.5,
,,8,ALBSL,"1,107.70",-7.1,-0.64,"1,075.00","1,140.00","1,075.00","18,794.00","1,114.80",,8,ALBSL,48.51,"1,075.00","1,140.00","1,075.00","1,107.70","1,107.70",0,0,"1,104.55","18,794.00","1,114.80","20,758,911.90",141,-7.1,65,-0.64,6.05,0.28,"1,123.19","1,118.49","1,334.00",921,
,,9,ALICL,432,0.3,0.07,431.7,433.6,430,"6,775.00",431.7,,9,ALICL,23.87,431.7,433.6,430,432,432,0,0,431.36,"6,775.00",431.7,"2,922,479.00",56,0.3,3.6,0.07,0.84,0.15,453.77,459.57,520,413.4,
,,10,ANLB,"5,628.00",-21,-0.37,"5,500.00","6,050.00","5,500.00","7,546.00","5,649.00",,10,ANLB,42.79,"5,500.00","6,050.00","5,500.00","5,628.00","5,628.00",0,0,"5,522.66","7,546.00","5,649.00","41,673,971.50",100,-21,550,-0.37,10,1.87,"6,186.44","6,178.93","7,560.00","5,450.00",
,,11,APHL,838,-1,-0.12,815,860,815,"21,739.00",839,,11,APHL,34.61,815,860,815,838,838,0,0,848.77,"21,739.00",839,"18,451,513.10",404,-1,45,-0.12,5.52,-1.29,0,0,"1,053.40",299.7,
,,12,API,334.5,-0.8,-0.24,335.3,340,332.3,"131,466.00",335.3,,12,API,25.38,335.3,340,332.3,334.5,334.5,0,0,334.4,"131,466.00",335.3,"43,961,775.50",475,-0.8,7.7,-0.24,2.32,0.03,336.29,320.14,370,258.8,
,,13,AVYAN,"1,021.00",-8,-0.78,"1,020.00","1,050.00","1,020.00","1,660.00","1,029.00",,13,AVYAN,23.76,"1,020.00","1,050.00","1,020.00","1,021.00","1,021.00",0,0,"1,031.01","1,660.00","1,029.00","1,711,470.00",34,-8,30,-0.78,2.94,-0.98,"1,081.17","1,044.68","1,366.00",906,
,,14,BANDIPUR,724,-3,-0.41,727,739,718,"12,012.00",727,,14,BANDIPUR,27.22,727,739,718,724,724,0,0,725.28,"12,012.00",727,"8,712,027.00",320,-3,21,-0.41,2.92,-0.18,853.08,0,"1,233.00",285,
,,15,BARUN,325.1,2.1,0.65,332.6,332.6,323.7,"16,158.00",323,,15,BARUN,29.54,332.6,332.6,323.7,325.1,325.1,0,0,326.1,"16,158.00",323,"5,269,065.50",77,2.1,8.9,0.65,2.75,-0.31,347,342.12,407.1,292.1,
,,16,BBC,"4,235.00",-45,-1.05,"4,380.00","4,380.00","4,221.00",130,"4,280.00",,16,BBC,25.43,"4,380.00","4,380.00","4,221.00","4,235.00","4,235.00",0,0,"4,308.75",130,"4,280.00","560,138.00",13,-45,159,-1.05,3.77,-1.74,"4,635.41","4,719.82","6,120.00","3,825.00",
,,17,BEDC,325,6.9,2.17,324.9,325.5,320,"18,635.00",318.1,,17,BEDC,38.21,324.9,325.5,320,325,325,0,0,323.57,"18,635.00",318.1,"6,029,654.30",123,6.9,5.5,2.17,1.72,0.44,414.19,462.33,812,303.1,
,,18,BFC,503.2,-6.8,-1.33,519.7,519.7,503,"27,985.00",510,,18,BFC,28.05,519.7,519.7,503,503.2,503.2,0,0,506.16,"27,985.00",510,"14,164,857.50",170,-6.8,16.7,-1.33,3.32,-0.59,486.32,481.94,562,411.5,
,,19,BGWT,575,-20,-3.36,595,595.5,560,"3,913.00",595,,19,BGWT,28.1,595,595.5,560,575,575,0,0,570.27,"3,913.00",595,"2,231,485.80",69,-20,35.5,-3.36,6.34,0.82,685.75,714.74,957,516.1,
,,20,BHCL,497,-6.9,-1.37,504,515,496.1,"18,887.00",503.9,,20,BHCL,26.14,504,515,496.1,497,497,0,0,501.69,"18,887.00",503.9,"9,475,512.50",290,-6.9,18.9,-1.37,3.81,-0.94,552.9,536.52,699,292.1,
,,21,BHDC,432,0.6,0.14,433,439.9,432,"3,579.00",431.4,,21,BHDC,27.08,433,439.9,432,432,432,0,0,434.22,"3,579.00",431.4,"1,554,068.80",64,0.6,7.9,0.14,1.83,-0.51,464.92,473.02,620,412,
,,22,BHL,212.9,0.5,0.24,212.4,215,212,"55,478.00",212.4,,22,BHL,25.18,212.4,215,212,212.9,212.9,0,0,213.19,"55,478.00",212.4,"11,827,097.90",275,0.5,3,0.24,1.42,-0.13,218.16,205.96,264.4,164,
,,23,BHPL,479,-1,-0.21,480,490,471,"5,595.00",480,,23,BHPL,38.07,480,490,471,479,479,0,0,477.92,"5,595.00",480,"2,673,939.50",46,-1,19,-0.21,4.03,0.23,535.82,560.02,834,449,
,,24,BJHL,719,-12.3,-1.68,731,748,695,"10,916.00",731.3,,24,BJHL,30.95,731,748,695,719,719,0,0,718.14,"10,916.00",731.3,"7,839,169.10",195,-12.3,53,-1.68,7.63,0.12,0,0,"1,305.00",270.1,
,,25,BNHC,281,-1,-0.35,282,284.9,279.3,"13,287.00",282,,25,BNHC,31.03,282,284.9,279.3,281,281,0,0,280.54,"13,287.00",282,"3,727,509.10",119,-1,5.6,-0.35,2.01,0.16,347.94,382.55,613.8,261.3,
,,26,BPCL,656.5,1,0.15,636.1,658,636.1,"12,784.00",655.5,,26,BPCL,23.8,636.1,658,636.1,656.5,656.5,0,0,651.72,"12,784.00",655.5,"8,331,570.90",97,1,21.9,0.15,3.44,0.73,692.49,708.69,965,612,
,,27,BUNGAL,594.9,-2.1,-0.35,608,608,590,"16,454.00",597,,27,BUNGAL,27.89,608,608,590,594.9,594.9,0,0,599.24,"16,454.00",597,"9,859,905.70",277,-2.1,18,-0.35,3.05,-0.73,651.09,0,895,302.4,
,,28,C30MF,10.1,0.03,0.3,10.1,10.4,10,"289,930.00",10.07,,28,C30MF,49.01,10.1,10.4,10,10.1,10.1,0,0,10.11,"289,930.00",10.07,"2,930,275.00",17,0.03,0.4,0.3,4,-0.07,9.99,9.74,10.58,8.7,
,,29,CBBL,934.2,2.2,0.24,945,945,932.1,"6,023.00",932,,29,CBBL,24.16,945,945,932.1,934.2,934.2,0,0,934.99,"6,023.00",932,"5,631,434.20",101,2.2,12.9,0.24,1.38,-0.08,923.45,944.71,"1,124.00",882,
,,30,CBLD88,"1,196.60",9.6,0.81,"1,187.00","1,187.00","1,161.80",33,"1,187.00",,30,CBLD88,21.47,"1,187.00","1,187.00","1,161.80","1,196.60","1,196.60",0,0,"1,164.00",33,"1,187.00","38,412.00",4,9.6,25.2,0.81,2.17,2.72,"1,218.68","1,193.71","1,325.00","1,108.00",
,,31,CFCL,660,-2,-0.3,629,670,629,"133,958.00",662,,31,CFCL,31.38,629,670,629,660,660,0,0,664.29,"133,958.00",662,"88,986,721.00",323,-2,41,-0.3,6.52,-0.65,565.6,542.62,699,445.1,
,,32,CGH,788.9,4.9,0.63,771.1,792,771.1,"8,121.00",784,,32,CGH,33.66,771.1,792,771.1,788.9,788.9,0,0,788.81,"8,121.00",784,"6,405,886.20",66,4.9,20.9,0.63,2.71,0.01,812.36,834.31,"1,104.00",748,
,,33,CHCL,497.5,3.4,0.69,499.9,500,493,"57,188.00",494.1,,33,CHCL,34.68,499.9,500,493,497.5,497.5,0,0,498,"57,188.00",494.1,"28,479,507.70",229,3.4,7,0.69,1.42,-0.1,484.93,485.73,550,450.3,
,,34,CHDC,"2,225.00",3.1,0.14,"2,248.00","2,250.00","2,220.00","11,759.00","2,221.90",,34,CHDC,24.12,"2,248.00","2,250.00","2,220.00","2,225.00","2,225.00",0,0,"2,229.96","11,759.00","2,221.90","26,222,119.30",126,3.1,30,0.14,1.35,-0.22,"2,322.07","2,319.10","2,840.00","1,967.00",
,,35,CHL,266,-2,-0.75,268,272,264,"13,213.00",268,,35,CHL,26.48,268,272,264,266,266,0,0,268.93,"13,213.00",268,"3,553,398.60",69,-2,8,-0.75,3.03,-1.1,286.25,278.1,332.5,223.4,
,,36,CIT,"1,720.00",5,0.29,"1,700.00","1,739.90","1,700.00","1,698.00","1,715.00",,36,CIT,26.33,"1,700.00","1,739.90","1,700.00","1,720.00","1,720.00",0,0,"1,718.28","1,698.00","1,715.00","2,917,632.70",75,5,39.9,0.29,2.35,0.1,"1,760.74","1,782.53","2,046.00","1,630.30",
,,37,CITY,369,0.8,0.22,371,374,367,"52,443.00",368.2,,37,CITY,27.79,371,374,367,369,369,0,0,369.78,"52,443.00",368.2,"19,392,604.10",280,0.8,7,0.22,1.91,-0.21,434.84,458.89,964,327.8,
,,38,CKHL,597,-8.6,-1.42,604,606.9,586.9,"12,069.00",605.6,,38,CKHL,28.02,604,606.9,586.9,597,597,0,0,596.65,"12,069.00",605.6,"7,200,921.00",18,-8.6,20,-1.42,3.41,0.06,668.03,660.11,804,525,
,,39,CLI,448.5,0.5,0.11,442,450,442,"6,668.00",448,,39,CLI,24.83,442,450,442,448.5,448.5,0,0,445.9,"6,668.00",448,"2,973,241.30",226,0.5,8,0.11,1.81,0.58,460.63,467.1,526,411,
,,40,CORBL,"1,115.00",-5,-0.45,"1,100.00","1,135.00","1,090.00","33,883.00","1,120.00",,40,CORBL,27.63,"1,100.00","1,135.00","1,090.00","1,115.00","1,115.00",0,0,"1,109.12","33,883.00","1,120.00","37,580,402.70",626,-5,45,-0.45,4.13,0.53,"1,824.39","1,777.87","3,183.00","1,050.00",
,,41,CREST,"1,195.00",5,0.42,"1,184.00","1,215.00","1,150.10","12,935.00","1,190.00",,41,CREST,38.84,"1,184.00","1,215.00","1,150.10","1,195.00","1,195.00",0,0,"1,188.39","12,935.00","1,190.00","15,371,773.30",148,5,64.9,0.42,5.64,0.55,"1,274.84","1,275.52","1,588.00",985.2,
,,42,CSY,9.3,-0.04,-0.43,9.06,9.3,9.06,920,9.34,,42,CSY,38.18,9.06,9.3,9.06,9.3,9.3,0,0,9.11,920,9.34,"8,377.40",8,-0.04,0.24,-0.43,2.65,2.09,0,0,10,8.78,
,,43,CYCL,"1,300.00",-10,-0.76,"1,301.00","1,330.00","1,300.00","1,959.00","1,310.00",,43,CYCL,34.16,"1,301.00","1,330.00","1,300.00","1,300.00","1,300.00",0,0,"1,303.87","1,959.00","1,310.00","2,554,280.00",64,-10,30,-0.76,2.31,-0.3,"1,493.49","1,510.81","2,021.00","1,280.00",
,,44,CZBIL,208.9,1,0.48,210,211.4,206,"114,286.00",207.9,,44,CZBIL,36.77,210,211.4,206,208.9,208.9,0,0,209.59,"114,286.00",207.9,"23,952,917.10",229,1,5.4,0.48,2.62,-0.33,204.06,201.09,238.6,183,
,,45,DDBL,835,-1.5,-0.18,830,840,830,"7,033.00",836.5,,45,DDBL,28.57,830,840,830,835,835,0,0,836.41,"7,033.00",836.5,"5,882,501.80",61,-1.5,10,-0.18,1.2,-0.17,844.91,846.7,981,793,
,,46,DHEL,582,-5.9,-1,588,600,582,"36,329.00",587.9,,46,DHEL,30.11,588,600,582,582,582,0,0,591.71,"36,329.00",587.9,"21,496,306.80",298,-5.9,18,-1,3.09,-1.67,646.44,0,918.9,402.2,
,,47,DHPL,289,-5,-1.7,290.1,295,285,"10,771.00",294,,47,DHPL,23.96,290.1,295,285,289,289,0,0,286.72,"10,771.00",294,"3,088,230.60",43,-5,10,-1.7,3.51,0.79,302.25,300.21,345,254,
,,48,DLBS,"1,190.00",-24,-1.98,"1,190.00","1,195.00","1,190.00",164,"1,214.00",,48,DLBS,22.84,"1,190.00","1,195.00","1,190.00","1,190.00","1,190.00",0,0,"1,189.94",164,"1,214.00","195,150.00",9,-24,5,-1.98,0.42,0.01,"1,298.85","1,316.66","1,634.00","1,083.80",
,,49,DOLTI,324.9,-0.1,-0.03,325,328.9,317,"23,185.00",325,,49,DOLTI,39.54,325,328.9,317,324.9,324.9,0,0,322.3,"23,185.00",325,"7,472,509.90",131,-0.1,11.9,-0.03,3.75,0.8,410,447.17,619,300.1,
