,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,147,MEL,210.8,-0.7,-0.33,208.9,211.4,208.6,"6,083.00",211.5,,147,MEL,-,208.9,211.4,208.6,210.8,210.8,0,0,210.03,"6,083.00",211.5,"1,277,608.60",117,-0.7,2.8,-0.33,1.34,0.37,248.24,259.49,328,198.7,
,,148,MEN,615.4,0.4,0.07,622,622,612.5,"76,475.00",615,,148,MEN,-,622,622,612.5,615.4,615.4,0,0,616.25,"76,475.00",615,"47,127,590.00",291,0.4,9.5,0.07,1.55,-0.14,596.31,595.13,683.4,535,
,,149,MEPDL,524.6,68.4,14.99,435,524.6,435,460,456.2,,149,MEPDL,-,435,524.6,435,524.6,524.6,0,0,518.27,460,456.2,"238,403.00",46,68.4,89.6,14.99,20.6,1.21,0,0,524.6,300,
,,150,MERO,655.1,-9.9,-1.49,660,665,655,"5,752.00",665,,150,MERO,-,660,665,655,655.1,655.1,0,0,658.52,"5,752.00",665,"3,787,788.50",54,-9.9,10,-1.49,1.53,-0.52,717.75,728.31,873.5,655,
,,151,MFIL,746,-11,-1.45,720,763.8,720,"53,994.00",757,,151,MFIL,-,720,763.8,720,746,746,0,0,741.42,"53,994.00",757,"40,032,122.20",292,-11,43.8,-1.45,6.08,0.61,796.91,768.35,938,545,
,,152,MHCL,306.1,-4.9,-1.58,320,320,306,"2,593.00",311,,152,MHCL,-,320,320,306,306.1,306.1,0,0,308.28,"2,593.00",311,"799,367.80",55,-4.9,14,-1.58,4.58,-0.71,347.09,363.02,472,301,
,,153,MHL,468,3,0.65,465.2,473.9,463.2,"2,420.00",465,,153,MHL,-,465.2,473.9,463.2,468,468,0,0,465.35,"2,420.00",465,"1,126,157.30",48,3,10.7,0.65,2.31,0.57,501.72,500.49,580,445,
,,154,MHNL,243.8,-1.1,-0.45,245.2,246,242,"25,236.00",244.9,,154,MHNL,-,245.2,246,242,243.8,243.8,0,0,242.9,"25,236.00",244.9,"6,129,722.10",56,-1.1,4,-0.45,1.65,0.37,262.81,260.44,324,223,
,,155,MKCL,"1,016.00",-32,-3.05,"1,044.00","1,044.00","1,004.10","2,099.00","1,048.00",,155,MKCL,-,"1,044.00","1,044.00","1,004.10","1,016.00","1,016.00",0,0,"1,021.26","2,099.00","1,048.00","2,143,625.80",54,-32,39.9,-3.05,3.97,-0.52,"1,248.24","1,293.74","1,671.00",991,
,,156,MKHC,268.2,-0.3,-0.11,268.5,270,263,"30,531.00",268.5,,156,MKHC,-,268.5,270,263,268.2,268.2,0,0,266.43,"30,531.00",268.5,"8,134,297.40",171,-0.3,7,-0.11,2.66,0.66,316.39,332.81,483,263,
